,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
1091,ISTJ,Interlude: Oasis,NCT U,0.682,0.666,8,-6.76,1,0.0983,0.152,2.06e-06,0.0976,0.18,103.819,127493,4
1092,ISTJ,The BAT,NCT U,0.715,0.742,11,-3.19,0,0.17,0.177,0.0,0.191,0.294,75.449,170907,4
1093,ISTJ,Alley Oop,NCT U,0.741,0.898,8,-3.489,1,0.0469,0.102,0.0,0.237,0.625,139.986,218467,3
1094,ISTJ,That's Not Fair,NCT U,0.733,0.768,4,-3.829,0,0.0393,0.17,0.0,0.538,0.626,93.014,181960,4
1095,ISTJ,Kangaroo,NCT U,0.765,0.76,8,-3.863,1,0.0618,0.145,0.0,0.0841,0.708,134.96,216360,4
1096,ISTJ,Not Your Fault,NCT U,0.63,0.688,6,-5.442,0,0.048,0.609,0.0,0.151,0.463,92.009,201827,4
1097,ISTJ,Golden Age,NCT 2023,0.552,0.863,8,-5.014,1,0.0761,0.0242,0.0,0.1,0.433,151.019,218147,4
1098,ISTJ,Get A Guitar,RIIZE,0.9,0.621,8,-5.098,1,0.0717,0.126,9.44e-06,0.101,0.895,109.995,160372,4
1099,ISTJ,Fact Check,NCT 127,0.759,0.907,5,-2.651,0,0.113,0.081,0.0,0.257,0.591,130.016,184653,4
1100,ISTJ,Space,NCT 127,0.693,0.703,8,-5.975,1,0.049,0.129,0.0,0.104,0.548,109.993,188267,4
1101,ISTJ,Parade,NCT 127,0.745,0.777,2,-3.894,1,0.228,0.0207,0.0,0.0698,0.514,151.054,205467,4
1102,ISTJ,Angel Eyes,NCT 127,0.701,0.884,8,-4.738,1,0.0596,0.327,0.0,0.108,0.709,118.019,184280,4
1103,ISTJ,Yacht,NCT 127,0.799,0.747,5,-4.765,0,0.0333,0.153,0.0,0.154,0.891,101.001,187653,4
1104,ISTJ,Je Ne Sais Quoi,NCT 127,0.752,0.76,5,-4.309,0,0.0872,0.13,1.8e-06,0.191,0.44,91.982,215827,4
